artist,title,Unnamed: 0,ranking,last_week_rank,peak_position,weeks_on_chart,chart_date
$uicideBoy$,I Want To Die In New Orleans,2018-09-22_7,7,0,7,1,2018-09-22
$uicideBoy$,Radical $Uicide (EP),2016-08-13_17,17,0,17,1,2016-08-13
100 Proof Aged in Soul,100 Proof Aged In Soul,1973-03-24_40,40,41,40,4,1973-03-24
100 Proof Aged in Soul,Somebody's Been Sleeping In My Bed,1971-01-02_31,31,41,31,4,1971-01-02
11/5,A-1 Yola,1996-08-10_33,33,48,33,2,1996-08-10
112,112,1996-09-14_5,5,0,5,1,1996-09-14
112,Hot & Wet,2003-12-06_4,4,0,4,1,2003-12-06
112,Part III,2001-04-07_1,1,0,1,1,2001-04-07
112,Pleasure & Pain,2005-04-16_2,2,0,2,1,2005-04-16
112,Room 112,1998-11-28_6,6,0,6,1,1998-11-28
11th Hour,Hollywood Hot,1976-05-01_40,40,50,40,2,1976-05-01
2 Chainz,B.O.A.T.S. II #METIME,2013-09-28_2,2,0,2,1,2013-09-28
2 Chainz,Based On A T.R.U. Story,2012-09-01_1,1,0,1,1,2012-09-01
2 Chainz,ColleGrove,2016-03-26_2,2,0,2,1,2016-03-26
2 Chainz,Pretty Girls Like Trap Music,2017-07-08_1,1,0,1,1,2017-07-08
2 Chainz,The Play Don't Care Who Makes It (EP),2018-02-24_27,27,0,27,1,2018-02-24
2 Krayze,2 Krayze,2008-10-25_26,26,50,26,3,2008-10-25
2 Low,Funky Lil Brotha,1994-02-12_25,25,96,25,2,1994-02-12
2 Pistols,Death Before Dishonor,2008-07-05_10,10,0,10,1,2008-07-05
21 Savage,Issa Album,2017-07-29_2,2,0,2,1,2017-07-29
21 Savage & Metro Boomin,Savage Mode,2016-08-06_9,9,0,9,1,2016-08-06
"21 Savage, Offset & Metro Boomin",Without Warning,2017-11-18_2,2,0,2,1,2017-11-18
213,The Hard Way,2004-09-04_1,1,0,1,1,2004-09-04
2Pac,2Pacalypse Now,1992-02-29_35,35,41,35,5,1992-02-29
2Pac,All Eyez On Me,1996-03-02_1,1,68,1,2,1996-03-02
2Pac,Better Dayz,2002-12-14_1,1,0,1,1,2002-12-14
2Pac,Live,2004-08-21_39,39,0,39,1,2004-08-21
2Pac,Loyal To The Game,2005-01-01_1,1,0,1,1,2005-01-01
2Pac,Me Against The World,1995-04-01_1,1,0,1,1,1995-04-01
2Pac,Nu Mixx Klazzics Vol. 2 (Evolution: Duets And Remixes),2007-09-01_8,8,0,8,1,2007-09-01
2Pac,Nu-Mixx Klazzics,2003-10-25_5,5,0,5,1,2003-10-25
2Pac,Pac's Life,2006-12-09_3,3,0,3,1,2006-12-09
2Pac,R U Still Down? [Remember Me],1997-12-13_1,1,49,1,2,1997-12-13
2Pac,Strictly 4 My N.I.G.G.A.Z.....,1993-03-06_4,4,0,4,1,1993-03-06
2Pac,Until The End Of Time,2001-04-14_1,1,0,1,1,2001-04-14
2Pac + Outlawz,Still I Rise,2000-01-08_2,2,0,2,1,2000-01-08
2nd II None,2nd II None,1991-12-07_36,36,44,36,5,1991-12-07
2nd II None,Classic 220,1999-10-30_40,40,0,40,1,1999-10-30
3-2,The Wicked Buddah Baby,1996-10-05_28,28,0,28,1,1996-10-05
337 Mafia,L.A.D.'s Ambition,2016-02-13_23,23,0,23,1,2016-02-13
3LW,3LW,2000-12-23_23,23,0,23,1,2000-12-23
3LW,A Girl Can Mack,2002-11-09_12,12,0,12,1,2002-11-09
3X Krazy,Stackin Chips,1997-04-26_28,28,0,28,1,1997-04-26
3rd Bass,Derelicts Of Dialect,1991-07-13_40,40,0,40,1,1991-07-13
3rd Bass,The Cactus Album,1989-12-16_35,35,55,35,2,1989-12-16
3rd Storee,Get With Me,2002-10-19_13,13,0,13,1,2002-10-19
4 By Four,4 By Four,1987-07-04_33,33,55,33,2,1987-07-04
40 Cal.,Broken Safety 2,2007-09-29_27,27,0,27,1,2007-09-29
5 Special,Five Special,1979-08-11_39,39,49,39,2,1979-08-11
50 Cent,Animal Ambition: An Untamed Desire To Win,2014-06-21_1,1,0,1,1,2014-06-21
50 Cent,Before I Self-Destruct,2009-12-05_1,1,48,1,2,2009-12-05
50 Cent,Curtis,2007-09-29_2,2,77,2,2,2007-09-29
50 Cent,Get Rich Or Die Tryin',2003-02-22_1,1,0,1,1,2003-02-22
50 Cent,Guess Who's Back?,2003-01-25_36,36,48,36,28,2003-01-25
50 Cent,The Massacre,2005-03-19_1,1,0,1,1,2005-03-19
50 Cent,The New Breed,2003-05-03_1,1,0,1,1,2003-05-03
504 Boyz,Ballers,2002-12-28_13,13,0,13,1,2002-12-28
504 Boyz,Goodfellas,2000-05-20_1,1,0,1,1,2000-05-20
52nd Street,Children Of The Night,1986-07-05_31,31,45,31,3,1986-07-05
54th Platoon,All Or N.O.thin,2003-05-24_21,21,0,21,1,2003-05-24
5th Ward Boyz,Gangsta Funk,1994-03-12_15,15,0,15,1,1994-03-12
5th Ward Boyz,Ghetto Dope,1993-05-29_37,37,42,37,2,1993-05-29
5th Ward Boyz,P.W.A. The Album... Keep It Poppin',1999-09-18_26,26,0,26,1,1999-09-18
5th Ward Boyz,Rated G,1995-12-02_35,35,0,35,1,1995-12-02
5th Ward Boyz,Usual Suspects,1997-12-06_26,26,0,26,1,1997-12-06
69 Boyz,Nineteen Ninety Quad,1994-06-18_34,34,0,34,1,1994-06-18
69 Boyz,The Wait Is Over,1998-08-01_39,39,0,39,1,1998-08-01
6LACK,East Atlanta Love Letter,2018-09-29_2,2,0,2,1,2018-09-29
6LACK,FREE 6LACK,2016-12-10_11,11,0,11,1,2016-12-10
6ix9ine,DAY69,2018-03-10_3,3,0,3,1,2018-03-10
6ix9ine,DUMMY BOY,2018-12-08_2,2,0,2,1,2018-12-08
7 Days Of Funk,7 Days Of Funk,2013-12-28_27,27,0,27,1,2013-12-28
